"Country","Year","Month","Day","Latitude","Longitude","Level","Notes"
"CN",2022,2,9,"12.00","113.00",6,"South Sea Fleet of the The People's Liberation Army (PLA) of China deployed a supply and a military ship for military drills on February 9 in the South China Sea."
"CN",2022,2,17,"12.00","113.00",6,"China Maritime Safety Administration (MSA) announced China posted a notice showing a live-fire military drills taking place in the northern part of the South China Sea on February 17."
"CN",2022,3,23,"12.00","113.00",6,"Chinese navy conducted high-intensity military drills in March 23 with 10 upgraded J-11B fighter aircraft in the South China Sea."
"CN",2022,8,12,"12.00","113.00",6,"The Chinese Navy conducted a 5-day minesweeping exercise in the South China Sea"
"CN",2022,8,24,"12.00","113.00",6,"The Shandong aircraft carrier and many other Chinese warships have begun training in the South China Sea to test soldiers' combat capabilities in simulated combat situations"
"CN",2022,9,15,"12.00","113.00",6,"China has equipped its maritime force with modern Type 056 frigates - which are considered ""fierce"" by the international community with many unruly actions in the South China Sea."
"CN/PH",2022,11,20,"11.05","114.27",1,"The pre-Chinese PhilippinesNavy has captured an ""unidentified floating object"" that Manila discovered, suspected to be missile debris, in the South China Sea."
"CN/PH",2023,3,4,"10.00","114.00",5,"Chinese ship ordered Philippine plane to move away Spratly"
"CN/PH",2023,3,4,"11.05","114.28",2,"Philippine reported 42 Chinese vessels near Thitu Island"
"CN",2023,1,16,"12.00","113.00",6,"PLA strike group held live-fire drills after US warship enter region"
"CN",2023,1,18,"12.00","113.00",6,"PLA strike group held live-fire drills after US warship enter region"
"CN/PH",2023,2,13,"10.00","114.00",5,"Chinese coast guard intruded Philippine patrol coastguard with laser around Spratly Islands"
"CN/PH",2023,3,10,"10.00","114.00",5,"Chinese ship ordered Philippine plane to move away Spratly"
"CN",2023,3,30,"10.93","114.07",2,"Hainan extends rescue reach with bigger patrol ship"
"BN/CN/IN/ID/PH/TH/VN",2023,5,8,"12.88","111.07",6,"PLA Navy sailed around while ASEAN held joint-drills"
"BN/CN/IN/ID/PH/TH/VN",2023,5,10,"12.88","111.07",6,"PLA Navy sailed around while ASEAN held joint-drills"
"CN",2023,5,24,"10.00","114.00",5,"China deployed three navigation beacons around Spratly Islands"
"CN",2023,9,1,"12.00","113.00",6,"PLA navy held anti-submarine military drills in South China Sea"
"CN/PH",2023,10,16,"11.05","114.27",3,"Confrontation between PLA Navy and Philippine Navy near Thitu Island"
"CN/PH",2023,1,31,"11.05","114.28",2,"Chinese coast guard vessels were spotted patrolling several features within the Philippines exclusive economic zone (EEZ)"
"CN/PH",2023,3,4,"11.05","114.28",2,"Philippines says that dozens of Chinese militia vessels, navy ship, and coast guard were spotted around Thitu Island"
"CN/SG",2023,4,23,"12.00","113.00",6,"China and Singapore to hold joint maritime drills in South China Sea"
"CN",2023,4,27,"12.00","113.00",6,"China conducted military drills in the South China Sea"
"CN/PH",2023,4,28,"11.05","114.28",2,"Two Chinese coastguard vessels had ordered the Philippine coast guard vessels to leave Thitu Island. Philippines did not comply."
"CN/PH",2023,4,28,"11.05","114.28",2,"The Philippine coastguard drove away four Chinese maritime militia vessels that were engaged in fishing activities in Thitu Island"
"BN/CN/IN/ID/PH/TH/VN",2023,5,9,"12.88","111.07",6,"Chinese boats approached an area in the South China Sea where several ASEAN countries and India were holding joint drills. China denies that this was an intimidation tactic"
"CN/PH/VN",2023,5,18,"12.88","111.07",6,"Vietnam calls on the recent actions of a Chinese research ship and Philippine coastguard in the South China Sea, which the country claims both have violated their soverign rights"
"CN/PH",2023,5,24,"12.00","113.00",6,"China sends a buoy vessel to the South China Sea days after the Philippines installs several buoys near contested islands"
"CN",2023,5,24,"10.88","114.92",2,"China installs three navigational beacons in the contested Spratly Islands"
"CN",2023,5,24,"10.00","114.67",2,"China installs three navigational beacons in the contested Spratly Islands"
"CN",2023,5,24,"10.21","114.22",2,"China installs three navigational beacons in the contested Spratly Islands"
"CN/VN",2023,5,25,"12.88","111.07",6,"Vietnam demands Chinese survey ship and coast guards to leave its exclusive economic zone in the South China Sea"
"CN/PH",2023,10,16,"10.99","114.22",1,"Philippines calls on China to stop its dangerous actions in the South China Sea following a near collision incident near Thitu Island after a Chinese Navy vessel cut off a Philippine ship"
"CN/PH",2023,12,3,"10.00","114.67",2,"Two Philippine vessels reported a maritime militia by more than 135 Chinese vessels swarming the disputed Whitsun Reef"
"CN/US",2023,1,16,"12.00","113.00",6,"China's Shandong aircraft carrier strike group conducts live-fire exercises and confrontations in the South China Sea while the US Nimitz aircraft carrier strike group also operates there."
"CN/PH",2023,2,6,"12.00","113.00",6,"PCG said that the force's ship BRP Malapascua was lasered by Chinese coast guard ship number 5205 in the incident on the afternoon of February 6 in the South China Sea."
"CN",2023,3,2,"12.00","113.00",6,"A group of Chinese warships, under the command of the Southern War Region, recently conducted exercises in the South China Sea and the western Pacific. Starting at the end of January, the exercise lasted more than 30 days with a total voyage of about 9,000 nautical miles, but Chinese media only recently reported it."
"CN",2023,3,4,"11.05","114.28",3,"The Philippines again accused Chinese ships of approaching Thi Tu Island"
"CN",2023,3,28,"12.88","111.07",6,"Vietnam closely follows Chinese ships near oil fields exploited by Russia in the EEZ"
"CN/SG",2023,4,25,"12.00","113.00",6,"China and Singapore are about to conduct military exercises as Beijing strengthens ties with the region"
"CN",2023,5,7,"12.88","111.07",6,"Chinese ships leave Vietnamese waters after US-China dialogue"
"CN",2023,5,12,"12.88","111.07",6,""
"CN/PH",2023,5,18,"12.88","111.07",6,"Vietnam criticized the actions of China and the Philippines in the South China Sea"
"CN",2023,6,5,"12.88","111.07",6,"Chinese ships leave Vietnamese waters after US-China talks"
"CN",2023,6,8,"12.88","111.07",6,"More Chinese coast guard ships appear in Vietnam's exclusive economic zone?"
"CN/PH",2023,6,30,"12.00","113.00",6,"The PhilippinesCoast Guard accused China of dangerous actions at Second Thomas Shoal"
"CN/PH/US",2023,8,5,"12.00","113.00",6,"The commander of the US Navy's 7th Fleet said China's ""aggressive behavior"" in the South China Sea, including the country's coast guard's use of water cannons against Philippinesships, must be challenged. and control."
"CN",2023,8,28,"12.00","113.00",6,"China trains its anti-submarine capabilities amid tensions in the South China Sea"
"CN",2023,8,30,"12.00","113.00",6,"The anti-submarine exercise in the South China Sea took place continuously for 40 hours, with the participation of more than 12 anti-submarine patrol aircraft and one submarine."
"CN/PH",2023,10,13,"11.05","114.28",3,"The Philippines accused China of ""dangerous and aggressive"" actions in the South China Sea"
"CN/US",2023,10,26,"12","113.00",6,"""Provocative"" actions by US warships, whereby the USS Ralph Johnson ""conducted close harassment"" of Chinese naval ships undergoing routine training."
"CN",2023,11,6,"12.00","113.00",6,"The Chinese warship group then passed through the Bashi Strait between Taiwan and the Philippines, entering the South China Sea on November 6."
"CN",2023,12,22,"12.00","113.00",6,"China conducted the first sea test of an ultra-deep drilling ship"
